priority,account_type,dr_cr,bank,match_type,keyword,min_prefix_len,counterparty,product_type,exclude_pattern
90,-,debit,*,regex,AMERICAN\s+EXPRESS,0,American Express Credit Card Repayment,bank,
90,transaction,debit,*,regex,(AMERICAN\s+EXPRESS|AMEX),0,American Express Credit Card Repayment,bank,
90,savings,debit,*,regex,(AMERICAN\s+EXPRESS|AMEX),0,American Express Credit Card Repayment,bank,
90,-,debit,*,regex,BPAY.*DAVID\s+JONE|DAVID\s+JONE.*(AMEX|AMERICAN|CREDIT\s+CARD),0,American Express Credit Card Repayment,bank,
90,-,debit,*,regex,(ANZ\s+(CARDS?|MASTERCARD|VISA|CREDIT\s+CARD)|PAYMENT\s+TO\s+ANZ\s+(VISA|MASTERCARD|CARD)),0,ANZ Credit Card Repayment,bank,
90,transaction,debit,*,regex,ANZ\s+INTERNET\s+BANKING\s+BPAY\s+ANZ\s+CARDS?,0,ANZ Credit Card Repayment,bank,
90,credit card,credit,anz,regex,(PAYMENT\s+[-]\s+THANK\s*YOU|AUTOREPAYMENT\s+[-]\s+THANK\s+YOU|CARDHOLDER\s+PAYMENT),0,ANZ Credit Card Repayment,bank,
90,credit card,credit,anz,regex,CREDIT\s+CARD\s+PAYMENT\s+INTERNET\s+PAYMENT,0,ANZ Credit Card Repayment,bank,
90,credit card,credit,anz,regex,BPAY\s+PAYMENT\s+THANKYOU,0,ANZ Credit Card Repayment,bank,
90,-,debit,anz,regex,ANZ\s+INTERNET\s+BANKING\s+BPAY\s+(NAB|COMMONWEALTH|WESTPAC|LATITUDE|COLES|LOWES|CREDITLINE),0,ANZ Credit Card Repayment,bank,
90,-,debit,*,regex,COMMONWEALTH\s+(CARDS|BANK).*BPAY|BPAY.*COMMONWEALTH\s+(CARDS|BANK)|COMMONWEALTH\s+CARDS,0,CBA Credit Card Repayment,bank,
90,transaction,debit,*,regex,(COMMONWEALTH\s+CARDS|SCHEDULED\s+PAYMENT\s+TO\s+A\s+CBA\s+ACCOUNT),0,CBA Credit Card Repayment,bank,
90,credit card,credit,cba,regex,AUTO\s+PAYMENT\s+[-]\s+THANK\s+YOU,0,CBA Credit Card Repayment,bank,
90,credit card,credit,cba,regex,CREDIT\s+CARD\s+PAYMENT\s+INTERNET\s+PAYMENT,0,CBA Credit Card Repayment,bank,
90,credit card,credit,cba,regex,"PAYMENT\s+RECEIVED,\s+THANK\s+YOU",0,CBA Credit Card Repayment,bank,
90,credit card,credit,westpac,regex,"PAYMENT\s+RECEIVED,\s+THANK\s+YOU",0,WESTPAC Credit Card Repayment,bank,
90,-,credit,cba,regex,Direct\s+Credit\s+\d+\s+GO\s+\d+,0,CBA Credit Card Repayment,bank,
90,credit card,credit,*,regex,PAYMENT-\s+CHEQUE\s+THANK\s+YOU,0,Miscellaneous Credit Card Repayments,bank,
90,savings,credit,*,regex,COMMONWEALTH\s+CARDS,0,CBA Credit Card Repayment,bank,
90,-,debit,*,regex,(NAB\s+CARDS?|nab\s+cards).*BPAY|BPAY.*(NAB\s+CARDS?|nab\s+cards),0,NAB Credit Card Repayment,bank,
90,transaction,debit,*,regex,(NAB\s+CARDS?|nab\s+cards|NAB\s+CREDIT\s+CARD),0,NAB Credit Card Repayment,bank,
90,credit card,credit,nab,regex,(CASH/TRANSFER\s+PAYMENT\s+[-]\s+THANK\s+YOU|PAYMENT\s+AUTHORISATION),0,NAB Credit Card Repayment,bank,
90,credit card,credit,nab,regex,CREDIT\s+CARD\s+PAYMENT\s+INTERNET\s+PAYMENT,0,NAB Credit Card Repayment,bank,
90,transaction,debit,westpac,regex,WITHDRAWAL\s+MOBILE\s+\d+\s+BPAY\s+NAB\s+CARDS?,0,NAB Credit Card Repayment,bank,
90,-,debit,*,regex,WITHDRAWAL\s+MOBILE\s+\d+\s+TFR\s+(WESTPAC\s+(CARDS?|CREDIT|LIT|LOW)|ALTITUDE\s+(BL|PL|QA|VE)|LOW\s+RATE\s+M|FLEX\s+CARD),0,WESTPAC Credit Card Repayment,bank,
90,transaction,debit,*,regex,WITHDRAWAL\s+MOBILE\s+\d+\s+TFR\s+(WESTPAC\s+(CARDS?|CREDIT|LIT|LOW)|ALTITUDE\s+(BL|PL|QA|VE)|LOW\s+RATE\s+M|FLEX\s+CARD),0,WESTPAC Credit Card Repayment,bank,
90,-,debit,*,regex,WITHDRAWAL\s+MOBILE\s+\d+\s+BPAY\s+(WESTPAC|LATITUDE|COLES|COMMONWEALTH|GO\s+MASTER),0,WESTPAC Credit Card Repayment,bank,
90,transaction,debit,*,regex,WITHDRAWAL\s+MOBILE\s+\d+\s+BPAY\s+(WESTPAC|LATITUDE|COLES|COMMONWEALTH|GO\s+MASTER),0,WESTPAC Credit Card Repayment,bank,
90,-,debit,*,regex,WESTPAC\s+(CARDS|CREDIT\s+CARD|LIT|LOW\s+CARD),0,WESTPAC Credit Card Repayment,bank,
90,transaction,debit,*,regex,WESTPAC\s+(CARDS|CREDIT\s+CARD),0,WESTPAC Credit Card Repayment,bank,
90,credit card,credit,westpac,regex,(PAYMENT-BPAY-THANK\s+YOU|PAYMENT\s+CASH-THANK\s+YOU),0,WESTPAC Credit Card Repayment,bank,
90,credit card,credit,westpac,regex,CREDIT\s+CARD\s+PAYMENT\s+INTERNET\s+PAYMENT,0,WESTPAC Credit Card Repayment,bank,
90,credit card,credit,westpac,regex,TFR\s+FROM\s+WESTPA\s+C,0,WESTPAC Credit Card Repayment,bank,
90,-,debit,*,regex,(FLEX\s+CARD|ALTITUDE\s+(BL|PL|QA|VE)|LOW\s+RATE\s+M|IGNITE\s+BY\s+WESTPAC),0,WESTPAC Credit Card Repayment,bank,
90,transaction,debit,*,regex,(FLEX\s+CARD|ALTITUDE\s+(BL|PL|QA|VE)|LOW\s+RATE\s+M|IGNITE\s+BY\s+WESTPAC),0,WESTPAC Credit Card Repayment,bank,
90,-,debit,*,regex,PERIODICAL\s+(MC|PAYMENT).*(FLEXI|WESTPAC|CARD),0,WESTPAC Credit Card Repayment,bank,
90,-,debit,*,regex,(LATITUDE\s+(GO|MASTERCARD|CREDIT\s+CARD|GEM|INFINITY|LOW\s+RATE)|BPAY.*LATITUDE\s+GO),0,Latitude Credit Card Repayment,bank,
90,transaction,debit,*,regex,(LATITUDE\s+(GO|GEM|MASTERCARD|INFINITY)|28\s+DEGREES\s+GLOBAL|CREDITLINE),0,Latitude Credit Card Repayment,bank,
90,savings,debit,*,regex,(LATITUDE\s+(GO|GEM|MASTERCARD)|CREDITLINE|BPAY.*LATITUDE\s+GO),0,Latitude Credit Card Repayment,bank,
90,-,debit,*,regex,DIRECT\s+DEBIT\s+\d+\s+GO\s+\d+,0,Latitude Credit Card Repayment,bank,
90,-,debit,*,regex,(GO\s+MASTERCARD|GO:SC\d+|GO\s+\d+.*SC\d+),0,Latitude Credit Card Repayment,bank,
90,-,debit,*,regex,\bCREDITLINE\b,0,Latitude Credit Card Repayment,bank,
90,savings,debit,*,regex,\bCREDITLINE\b,0,Latitude Credit Card Repayment,bank,
90,-,debit,*,regex,(COLES\s+(MASTERCARD|CREDIT\s+CARDS?|CC\s+TFD|CR\s+CARD|REWARDS|NO\s+ANNUAL)|BPAY.*COLES\s+MASTERCARD|PAYMENT\s+TO\s+COLES\s+(LOW\s+RATE|NO\s+ANNUAL|REWARDS)|DIRECT\s+DEBIT\s+COLES),0,Coles Credit Card Repayment,bank,
90,transaction,debit,*,regex,COLES\s+(MASTERCARD|CREDIT\s+CARDS?|CC\s+TFD|CR\s+CARD|REWARDS|NO\s+ANNUAL),0,Coles Credit Card Repayment,bank,
90,savings,debit,*,regex,(BPAY.*COLES\s+MASTERCARD|COLES\s+MASTERCARD|PAYMENT\s+TO\s+COLES),0,Coles Credit Card Repayment,bank,
90,-,debit,*,regex,WOOLWORTHS.*(CREDIT\s+CARD|MASTERCARD)|(CREDIT\s+CARD|MASTERCARD).*WOOLWORTHS,0,Woolworths Credit Card Repayment,bank,
90,-,debit,ing,regex,(TO\s+ORANGE\s+ONE\s+(LOW\s+RATE|REWARDS)\s+(CLASSIC|PLATINUM)|INSTALMENT\s+REPAYMENT(?!\s+PROTECTION)),0,ING Credit Card Repayment,bank,
90,savings,debit,ing,regex,TO\s+ORANGE\s+ONE\s+(LOW\s+RATE|REWARDS),0,ING Credit Card Repayment,bank,
90,credit card,credit,ing,regex,(INSTALMENT\s+REPAYMENT|CREDIT\s+CARD\s+PAYMENT\s+INTERNET\s+PAYMENT),0,ING Credit Card Repayment,bank,
90,-,debit,*,regex,ING\s+(LOAN|CARD|CREDIT),0,ING Credit Card Repayment,bank,
90,-,debit,bankwest,regex,(BANKWEST\s+CREDIT\s+CARD|IB\s+TRANSFER|BANKWEST\s+LOANS?),0,Bankwest Credit Card Repayment,bank,
90,credit card,credit,bankwest,regex,TRANSFER\s+\d+\s+FROM\s+\d{3}[-]\d{3}[-]\d{3},0,Bankwest Credit Card Repayment,bank,
90,-,debit,*,regex,\bBANKWEST\b,0,Bankwest Credit Card Repayment,bank,
90,-,debit,*,regex,ST\s+GEORGE\s+CARDS?,0,STGEORGE Credit Card Repayment,bank,
90,credit card,credit,stgeorge,regex,CREDIT\s+CARD\s+PAYMENT\s+INTERNET\s+PAYMENT,0,STGEORGE Credit Card Repayment,bank,
90,credit card,credit,stgeorge,regex,Phone/Internet\s+Tfr\s+From,0,STGEORGE Credit Card Repayment,bank,
90,-,debit,*,regex,SUNCORP\s+(CREDIT|CARD|BANK),0,SUNCORP Credit Card Repayment,bank,
90,credit card,credit,suncorp,regex,(EASIPAY\s+PAYMENT|CREDIT\s+CARD\s+PAYMENT\s+INTERNET\s+PAYMENT),0,SUNCORP Credit Card Repayment,bank,
90,-,debit,*,regex,BANKSA\s+CARDS?,0,BANKSA Credit Card Repayment,bank,
